State,Policy,Status
NJ,Large Gatherings Ban,New Limit on Large Gatherings in Place
NJ,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
NJ,Bar Closures,Closed
NJ,Face Covering Requirement,Required for General Public
NJ,Primary Election Postponement,Postponed
NJ,Emergency Declaration,Yes
NM,Status of Reopening,New Restrictions Imposed
NM,Stay at Home Order,Lifted
NM,Mandatory Quarantine for Travelers,All Air Travelers
NM,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
NM,Large Gatherings Ban,Expanded to New Limit Below 25
NM,Restaurant Limits,New Service Limits
NM,Bar Closures,Closed
NM,Face Covering Requirement,Required for Certain Employees
NM,Primary Election Postponement,-
NM,Emergency Declaration,Yes
NY,Status of Reopening,Proceeding with Reopening
NY,Stay at Home Order,Rolled Back to High Risk Groups
NY,Mandatory Quarantine for Travelers,From Certain States (New)
NY,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
NY,Large Gatherings Ban,Expanded to New Limit Above 25
NY,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
NY,Bar Closures,Reopened
NY,Face Covering Requirement,Required for General Public
NY,Primary Election Postponement,Postponed
NY,Emergency Declaration,Yes
NC,Status of Reopening,New Restrictions Imposed
NC,Stay at Home Order,Lifted
NC,Mandatory Quarantine for Travelers,-
NC,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
NC,Large Gatherings Ban,>10 People Prohibited
NC,Restaurant Limits,New Service Limits
NC,Bar Closures,Closed
NC,Face Covering Requirement,Required for General Public
NC,Primary Election Postponement,-
NC,Emergency Declaration,Yes
ND,Status of Reopening,Reopened
ND,Stay at Home Order,-
ND,Mandatory Quarantine for Travelers,All Travelers
ND,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen
ND,Large Gatherings Ban,-
ND,Restaurant Limits,Reopened to Dine-in Service
ND,Bar Closures,Reopened
ND,Face Covering Requirement,-
ND,Primary Election Postponement,-
ND,Emergency Declaration,Yes
OH,Status of Reopening,Proceeding with Reopening
OH,Stay at Home Order,Lifted
OH,Mandatory Quarantine for Travelers,Lifted
OH,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
OH,Large Gatherings Ban,Expanded to New Limit Below 25
OH,Restaurant Limits,Reopened to Dine-in Service
OH,Bar Closures,New Service Limits
OH,Face Covering Requirement,Required for General Public
OH,Primary Election Postponement,Postponed
OH,Emergency Declaration,Yes
OK,Status of Reopening,Reopened
OK,Stay at Home Order,Lifted
OK,Mandatory Quarantine for Travelers,Lifted
OK,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
OK,Large Gatherings Ban,Lifted
OK,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
OK,Bar Closures,Reopened
OK,Face Covering Requirement,-
OK,Primary Election Postponement,-
OK,Emergency Declaration,Yes
OR,Status of Reopening,New Restrictions Imposed
OR,Stay at Home Order,Lifted
OR,Mandatory Quarantine for Travelers,-
OR,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen
OR,Large Gatherings Ban,New Limit on Large Gatherings in Place
OR,Restaurant Limits,New Service Limits
OR,Bar Closures,New Service Limits
OR,Face Covering Requirement,Required for General Public
OR,Primary Election Postponement,-
OR,Emergency Declaration,Yes
